,Actual Class,Predicted Class,User ID 147,User ID 22,User ID 28,User ID 35,User ID 61,User ID 79,User ID 98,User Predicted,gamma,kernel
0,98,98,0.07122845878949251,0.23003047318372488,0.06807956380991273,0.08610853308815353,0.08075717908900132,0.14630548040976396,0.3174903116299509,True,auto,poly
1,35,98,0.06248966931531955,0.2534163333325768,0.06722200162610584,0.08532517214631277,0.07966164628801828,0.13088850821958303,0.32099666907208396,False,auto,poly
2,28,98,0.06282689994499936,0.24527644318077574,0.0657029162852081,0.08534472011955593,0.07999598084478239,0.1398806296558517,0.3209724099688268,False,auto,poly
3,79,98,0.06549502096797423,0.24318711600036558,0.07030487215395377,0.08581971912413706,0.08018389389080009,0.134784443562797,0.3202249342999723,False,auto,poly
4,98,98,0.06281431116975449,0.2511304403683254,0.06814412987820775,0.08542648779283953,0.07977339112732355,0.13148022954124083,0.3212310101223085,True,auto,poly
5,147,98,0.06385364397483889,0.24294571256721217,0.0737865134277248,0.08674422870193793,0.08073549857889832,0.12825593211571912,0.32367847063366834,False,auto,poly
6,22,98,0.0609968070893981,0.2583762952595622,0.06658619336435245,0.08526843629033966,0.07947660386090746,0.12727678021631764,0.3220188839191224,False,auto,poly
7,22,98,0.05921528821953107,0.2646222750861082,0.06753759046009034,0.08556036789482169,0.07954582497473198,0.11858638379355294,0.3249322695711636,False,auto,poly
8,98,98,0.058985928149458605,0.26574806814223667,0.06741995730325964,0.08558572055179887,0.07952480334904832,0.11747766019840826,0.3252578623057892,True,auto,poly
9,28,98,0.061303465000857066,0.25327383491540145,0.07101133222768453,0.08604519319597952,0.0801657139844064,0.12389196066732658,0.3243085000083445,False,auto,poly
10,22,98,0.059186425756597175,0.26264320760467563,0.06725816873282602,0.08541801243449201,0.07951063513558139,0.12159785210217143,0.3243856982336559,False,auto,poly
11,61,98,0.09561770579707946,0.16403618289426966,0.06691887246871511,0.0943596766001689,0.09040462897622072,0.1501038076655824,0.338559125597964,False,auto,poly
12,98,98,0.061380038284293385,0.25643032864251136,0.06589354999226162,0.08522039456670825,0.07944938625204359,0.13038968777370366,0.3212366144884785,True,auto,poly
13,22,98,0.0600875035957597,0.25974831939895265,0.06746261237783778,0.0853780540592001,0.07957780301590997,0.12429085663656515,0.32345485091577475,False,auto,poly
14,147,98,0.060120900783770366,0.25864561862793817,0.06587713574719133,0.08516635427237561,0.07938043082211464,0.12827874579981666,0.32253081394679267,False,auto,poly
15,79,98,0.06147810685465215,0.25770569563912593,0.06598066199190576,0.08515792935023081,0.079496037546001,0.12869392317815437,0.3214876454399299,False,auto,poly
16,79,98,0.05987779901652476,0.2611739155894965,0.06832406754571987,0.085604904818049,0.07966590961985723,0.12096289022265114,0.32439051318770157,False,auto,poly
17,22,98,0.05998294579322455,0.25815063490655926,0.06985235696263387,0.08586202307380879,0.07993279819690795,0.12114248489747474,0.32507675616939113,False,auto,poly
